Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2022,02/24/2022,ADAM TURNER LCSW,Professional Services,Sale,-87.67,
02/22/2022,02/24/2022,SMOOTHIE KING - 0150 - MA,Food & Drink,Sale,-4.22,
02/23/2022,02/24/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/22/2022,02/24/2022,JetBrains Americas INC,Shopping,Sale,-267.05,
02/23/2022,02/24/2022,SQ *MOSAICS OF MERCY,Gifts & Donations,Sale,-1.00,
02/23/2022,02/24/2022,H-E-B #717,Groceries,Sale,-14.02,
02/23/2022,02/24/2022,Amazon.com*1I9753J70,Shopping,Sale,-3.97,
02/22/2022,02/23/2022,HEB ONLINE,Groceries,Sale,-35.73,
02/23/2022,02/23/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/22/2022,02/23/2022,DisneyPLUS,Bills & Utilities,Sale,-6.48,
02/22/2022,02/23/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/21/2022,02/23/2022,MURPHY6628ATWALMART,Gas,Sale,-43.10,
02/23/2022,02/23/2022,MED*TX CHILDRENS HOSPITAL,Health & Wellness,Sale,-30.00,
02/22/2022,02/23/2022,CALVERT HOSPICE,Gifts & Donations,Sale,-30.00,
02/21/2022,02/23/2022,SMOOTHIE KING - 0150 - MA,Food & Drink,Sale,-4.22,
02/21/2022,02/22/2022,BOISSON,Shopping,Sale,-43.60,
02/21/2022,02/22/2022,SQ *GOLDEN HOUR COFFEE AN,Food & Drink,Sale,-8.04,
02/21/2022,02/22/2022,DAVAM URGENT CARE,Health & Wellness,Sale,-30.00,
02/21/2022,02/22/2022,WALGREENS #4493,Health & Wellness,Sale,-14.00,
02/21/2022,02/22/2022,HEB ONLINE,Groceries,Sale,-50.13,
02/20/2022,02/21/2022,Amazon.com*M00O226T3,Shopping,Sale,-36.00,
02/20/2022,02/21/2022,SHIPLEY DO-NUTS - MAG,Food & Drink,Sale,-4.98,
02/20/2022,02/21/2022,MALIBU NAILS SPA,Personal,Sale,-59.00,
02/19/2022,02/21/2022,THE HOME DEPOT 6819,Home,Sale,-1.13,
02/19/2022,02/21/2022,SHELL OIL 57543427900,Gas,Sale,-61.26,
02/19/2022,02/20/2022,TST* SUMMER MOON - CONROE,Food & Drink,Sale,-6.57,
02/18/2022,02/20/2022,NESPRESSO USA,Groceries,Sale,-61.00,
02/19/2022,02/20/2022,H-E-B #638,Groceries,Sale,-7.00,
02/20/2022,02/20/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/19/2022,02/20/2022,LEVELUPFLOWERCHILD016,Food & Drink,Sale,-27.98,
02/18/2022,02/20/2022,DISCOUNT TIRE CO TXH 74,Automotive,Sale,-24.00,
02/19/2022,02/20/2022,TARGET        00023564,Shopping,Sale,-57.55,
02/19/2022,02/20/2022,H-E-B #638,Groceries,Sale,-109.99,
02/18/2022,02/20/2022,TST* SUMMER MOON - CONROE,Food & Drink,Sale,-6.57,
02/18/2022,02/20/2022,Bruster Ice Cream,Food & Drink,Sale,-5.14,
02/18/2022,02/20/2022,H-E-B #638,Groceries,Sale,-7.57,
02/16/2022,02/18/2022,MEZCAL CANTINA MEXICAN,Food & Drink,Sale,-11.73,
02/17/2022,02/18/2022,PSYCHIATRIC CONSULTING OF,Health & Wellness,Sale,-200.00,
02/17/2022,02/18/2022,THE UPS STORE 4728,Personal,Sale,-5.95,
02/16/2022,02/18/2022,SHELL OIL 12637377008,Gas,Sale,-36.13,
02/17/2022,02/18/2022,H-E-B #638,Groceries,Sale,-78.99,
02/16/2022,02/17/2022,H-E-B #638,Groceries,Sale,-11.19,
02/16/2022,02/17/2022,TST* RUDY S COUNTRY STORE,Food & Drink,Sale,-66.90,
02/16/2022,02/17/2022,SNOW WHITE CLEANERS QPS,Personal,Sale,-6.74,
02/16/2022,02/17/2022,DisneyPLUS,Bills & Utilities,Sale,-8.63,
02/16/2022,02/17/2022,SQ *MOBILITY CHIRO THERAP,Health & Wellness,Sale,-75.00,
02/15/2022,02/16/2022,TARGET        00023564,Shopping,Sale,-32.09,
02/15/2022,02/16/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.22,
02/15/2022,02/16/2022,KROGER 357,Groceries,Sale,-21.78,
02/15/2022,02/16/2022,CHEVRON 0200192,Gas,Sale,-45.84,
02/15/2022,02/16/2022,H-E-B #660,Groceries,Sale,-21.05,
02/14/2022,02/16/2022,MINUTI COFFEE,Food & Drink,Sale,-4.97,
02/15/2022,02/16/2022,2ND AND CHARLES 2137,Home,Sale,-12.02,
02/14/2022,02/16/2022,CHICK-FIL-A #01070,Food & Drink,Sale,-11.52,
02/14/2022,02/15/2022,MED*TEXAS CHILDREN'S PEDI,Health & Wellness,Sale,-30.00,
02/14/2022,02/15/2022,Spotify USA,Bills & Utilities,Sale,-10.81,
02/14/2022,02/15/2022,H-E-B #638,Groceries,Sale,-29.98,
02/14/2022,02/15/2022,THAI GOURMET RESTAURANT,Food & Drink,Sale,-15.50,
02/14/2022,02/15/2022,MED*TX ORTHO SPORTS MED,Health & Wellness,Sale,-30.00,
02/13/2022,02/14/2022,TARGET        00023564,Shopping,Sale,-46.65,
02/13/2022,02/14/2022,TARGET        00023564,Shopping,Sale,-30.27,
02/13/2022,02/14/2022,KOLACHE FACTORY -  #101,Food & Drink,Sale,-4.70,
02/13/2022,02/14/2022,H-E-B #638,Groceries,Sale,-51.84,
02/14/2022,02/14/2022,AMZN Mktp US*9M3US5EJ3,Shopping,Sale,-8.55,
02/11/2022,02/13/2022,H-E-B #638,Groceries,Sale,-38.06,
02/11/2022,02/13/2022,SQ *BELLA VIDA SALON,Personal,Sale,-186.00,
02/12/2022,02/13/2022,H-E-B #638,Groceries,Sale,-12.29,
02/10/2022,02/13/2022,GIRL SCOUTS OF THE USA,Gifts & Donations,Sale,-59.00,
02/12/2022,02/13/2022,H-E-B #638,Groceries,Sale,-28.00,
02/11/2022,02/13/2022,SQ *GOLDEN HOUR COFFEE AN,Food & Drink,Sale,-8.04,
02/10/2022,02/13/2022,PARTY CITY 0320,Shopping,Sale,-20.03,
02/10/2022,02/11/2022,H-E-B GAS #638,Gas,Sale,-47.49,
02/09/2022,02/11/2022,EXXONMOBIL    47739669,Gas,Sale,-3.68,
02/10/2022,02/11/2022,H-E-B #638,Groceries,Sale,-139.60,
02/09/2022,02/11/2022,J &amp; J CARWASH CONROE -,Automotive,Sale,-5.75,
02/10/2022,02/11/2022,GIRL SCOUTS OF THE USA,Gifts & Donations,Sale,-25.00,
02/09/2022,02/11/2022,EXXONMOBIL    47739669,Gas,Sale,-47.61,
02/09/2022,02/10/2022,ADT SECURITY*313596885,Professional Services,Sale,-13.70,
02/09/2022,02/10/2022,ADAM TURNER LCSW,Professional Services,Sale,-30.00,
02/08/2022,02/09/2022,WALGREENS #9602,Health & Wellness,Sale,-7.58,
02/08/2022,02/09/2022,ADT SECURITY*313596885,Bills & Utilities,Sale,-53.03,
02/08/2022,02/09/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/07/2022,02/08/2022,SQ *MOBILITY CHIRO THERAP,Health & Wellness,Sale,-30.00,
02/07/2022,02/08/2022,TARGET        00023564,Shopping,Sale,-23.20,
02/06/2022,02/08/2022,THE HOME DEPOT 6819,Home,Sale,-34.55,
02/06/2022,02/07/2022,HEB ONLINE,Groceries,Sale,-81.21,
02/07/2022,02/07/2022,Audible*JE52L27B3,Bills & Utilities,Sale,-16.03,
02/06/2022,02/07/2022,DAVAM URGENT CARE,Health & Wellness,Sale,-30.00,
02/05/2022,02/07/2022,TARGET        00023564,Shopping,Sale,-11.03,
02/06/2022,02/07/2022,TME*TIME,Bills & Utilities,Sale,-24.50,
02/06/2022,02/07/2022,AMZN Mktp US*5A00K3N23,Shopping,Sale,-14.90,
02/06/2022,02/07/2022,CHRIST COMMUNITY CHURC,Gifts & Donations,Sale,-715.69,
02/06/2022,02/07/2022,H-E-B #638,Groceries,Sale,-29.51,
02/05/2022,02/06/2022,TRADER JOE'S #428 QPS,Groceries,Sale,-43.40,
02/06/2022,02/06/2022,Amazon.com*CO22S40E3,Shopping,Sale,-7.05,
02/05/2022,02/06/2022,H-E-B #638,Groceries,Sale,-8.86,
02/05/2022,02/06/2022,LOWES #01515*,Home,Sale,-33.49,
02/04/2022,02/06/2022,FSI*ENTERGY-BILLMATRIX,Bills & Utilities,Sale,-271.40,
02/04/2022,02/06/2022,FSI*ENTERGY-BILLMATRIX,Bills & Utilities,Sale,-18.01,
02/04/2022,02/06/2022,UNITED      0162392626126,Travel,Sale,-11.20,
02/04/2022,02/06/2022,SQ *ADVENTURE KIDS PLAYCA,Personal,Sale,-112.75,
02/03/2022,02/06/2022,THE HOME DEPOT 6819,Home,Sale,-51.84,
02/05/2022,02/06/2022,CONSOLIDATED COMMUNICATIO,Bills & Utilities,Sale,-81.52,
02/04/2022,02/06/2022,UNITED      0162392626125,Travel,Sale,-11.20,
02/05/2022,02/06/2022,CVS/PHARMACY #10140,Health & Wellness,Sale,-19.15,
02/04/2022,02/06/2022,UNITED      0162392626124,Travel,Sale,-11.20,
02/05/2022,02/06/2022,AIRBNB  HMFJRZXA4W,Travel,Sale,-370.47,
02/04/2022,02/06/2022,UNITED      0162392626123,Travel,Sale,-11.20,
02/05/2022,02/06/2022,Amazon.com*OR18W43H3,Shopping,Sale,-29.70,
02/05/2022,02/06/2022,H-E-B #638,Groceries,Sale,-48.44,
02/03/2022,02/04/2022,TARGET        00023564,Shopping,Sale,-51.19,
02/02/2022,02/04/2022,MOD PIZZA CONROE SOUTH,Food & Drink,Sale,-28.43,
02/03/2022,02/04/2022,Amazon.com*HN3XT7UN3,Shopping,Sale,-26.80,
02/03/2022,02/04/2022,H-E-B #638,Groceries,Sale,-25.71,
02/03/2022,02/03/2022,EB SANS BAR X SPIRITL,Personal,Sale,-118.36,
02/03/2022,02/03/2022,APPLE.COM/BILL,Shopping,Sale,-0.99,
02/02/2022,02/03/2022,H-E-B #638,Groceries,Sale,-39.92,
02/02/2022,02/03/2022,SQ *MOBILITY CHIRO THERAP,Health & Wellness,Sale,-75.00,
02/02/2022,02/03/2022,TRAVEL RESERVATION,Travel,Sale,-48.55,
02/02/2022,02/03/2022,SQ *MOBILITY CHIRO THERAP,Health & Wellness,Sale,-75.00,
02/02/2022,02/03/2022,CHEVRON 0379233,Gas,Sale,-39.87,
02/02/2022,02/03/2022,BREAKTIME @ CARRIAGE HIL,Gas,Sale,-4.18,
02/01/2022,02/02/2022,AMZN Mktp US*E49W765R3,Shopping,Sale,-16.91,
02/01/2022,02/02/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-6.12,
02/01/2022,02/02/2022,WALGREENS #9602,Health & Wellness,Sale,-22.99,
02/01/2022,02/02/2022,KROGER 732,Groceries,Sale,-14.00,
02/01/2022,02/02/2022,KROGER 732,Groceries,Sale,-33.51,
01/31/2022,02/02/2022,IN *HPRB WOODLANDS TENNIS,Entertainment,Sale,-231.86,
02/01/2022,02/02/2022,LEVELUPFLOWERCHILD068,Food & Drink,Sale,-15.05,
